L_Elbow,R_Elbow,L_Shoulder,R_Shoulder,L_Wrist,R_Wrist,L_Hip,R_Hip,L_Knee,R_Knee,L_Ankle,R_Ankle,Spine
80.0,177.0,66.0,55.0,161.0,148.0,173.0,93.0,176.0,85.0,143.0,139.0,160.0
67.0,177.0,66.0,54.0,148.0,148.0,161.0,86.0,171.0,148.0,147.0,159.0,171.0
44.0,177.0,70.0,48.0,163.0,148.0,128.0,95.0,136.0,155.0,154.0,139.0,177.0
138.0,177.0,27.0,42.0,163.0,148.0,97.0,111.0,107.0,165.0,120.0,154.0,160.0
124.0,177.0,49.0,37.0,163.0,148.0,104.0,123.0,107.0,174.0,134.0,168.0,162.0
124.0,177.0,52.0,39.0,163.0,148.0,98.0,124.0,97.0,176.0,116.0,173.0,166.0
124.0,177.0,50.0,42.0,163.0,148.0,96.0,122.0,92.0,171.0,111.0,169.0,173.0
124.0,177.0,22.0,31.0,163.0,148.0,106.0,131.0,112.0,166.0,132.0,161.0,178.0
124.0,177.0,30.0,2.0,163.0,148.0,146.0,176.0,169.0,172.0,154.0,154.0,178.0
124.0,177.0,30.0,2.0,163.0,148.0,152.0,173.0,171.0,179.0,161.0,166.0,177.0
124.0,177.0,30.0,19.0,163.0,148.0,132.0,137.0,141.0,142.0,159.0,162.0,171.0
124.0,177.0,30.0,11.0,163.0,148.0,110.0,118.0,110.0,129.0,140.0,135.0,154.0
124.0,177.0,30.0,6.0,163.0,148.0,99.0,84.0,89.0,90.0,137.0,146.0,154.0
124.0,177.0,30.0,18.0,163.0,148.0,127.0,75.0,132.0,81.0,127.0,120.0,157.0
124.0,177.0,30.0,18.0,163.0,148.0,150.0,76.0,162.0,102.0,139.0,138.0,179.0
124.0,177.0,30.0,62.0,163.0,148.0,96.0,138.0,142.0,127.0,153.0,137.0,163.0
124.0,177.0,30.0,54.0,163.0,148.0,98.0,137.0,161.0,123.0,153.0,131.0,173.0
124.0,177.0,30.0,53.0,163.0,148.0,100.0,135.0,166.0,124.0,140.0,124.0,174.0
124.0,177.0,30.0,44.0,163.0,148.0,103.0,128.0,170.0,118.0,139.0,122.0,177.0
124.0,177.0,30.0,32.0,163.0,148.0,111.0,150.0,177.0,143.0,141.0,117.0,178.0
124.0,177.0,30.0,26.0,163.0,148.0,114.0,145.0,179.0,142.0,168.0,117.0,166.0
124.0,177.0,22.0,24.0,163.0,148.0,113.0,157.0,170.0,147.0,177.0,118.0,170.0
124.0,177.0,22.0,26.0,163.0,148.0,128.0,149.0,156.0,152.0,160.0,129.0,174.0
124.0,177.0,22.0,15.0,163.0,148.0,134.0,130.0,128.0,138.0,153.0,123.0,153.0
124.0,177.0,22.0,7.0,163.0,148.0,134.0,163.0,136.0,173.0,164.0,136.0,173.0
124.0,177.0,22.0,24.0,163.0,148.0,132.0,139.0,125.0,122.0,172.0,171.0,174.0
124.0,177.0,22.0,28.0,163.0,148.0,172.0,111.0,164.0,117.0,159.0,149.0,167.0
124.0,177.0,22.0,28.0,163.0,148.0,153.0,133.0,167.0,141.0,135.0,155.0,164.0
124.0,177.0,22.0,28.0,163.0,148.0,171.0,73.0,150.0,84.0,173.0,169.0,175.0
124.0,177.0,22.0,28.0,163.0,148.0,145.0,147.0,141.0,160.0,154.0,178.0,165.0
124.0,177.0,22.0,28.0,163.0,148.0,172.0,119.0,154.0,121.0,177.0,179.0,143.0
124.0,177.0,22.0,28.0,163.0,148.0,157.0,111.0,139.0,136.0,172.0,150.0,148.0
124.0,177.0,22.0,28.0,163.0,148.0,152.0,117.0,176.0,127.0,160.0,163.0,158.0
124.0,177.0,22.0,28.0,163.0,148.0,137.0,174.0,119.0,178.0,108.0,145.0,164.0
